,idRule_G,idRule_g,Rule_G,state_G,Rule_g,state_g
0,0,32,PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0],Not confident,"NMHC_GT[306.0-1189.0], PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported
1,0,45,PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0],Not confident,"CO_GT[0.1-3.2], PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0]",Confident
2,56,45,"CO_GT[0.1-3.2] --> PT08_S2_NMHC[383.0-644.0], NOx_GT[2.0-416.0], PT08_S3_NOx[322.0-1065.0], PT08_S4_NO2[551.0-1285.0]",Not supported,"CO_GT[0.1-3.2], PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0]",Confident
3,104,45,"CO_GT[0.1-3.2], PT08_S4_NO2[1731.0-2775.0] --> PT08_S2_NMHC[1451.0-2214.0], NOx_GT[2.0-416.0]",Not supported,"CO_GT[0.1-3.2], PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0]",Confident
4,270,45,"CO_GT[0.1-3.2] --> PT08_S1_CO[1881.0-2040.0], NOx_GT[2.0-416.0]",Not supported,"CO_GT[0.1-3.2], PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0]",Confident
5,0,195,PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0],Not confident,"CO_GT[6.5-11.9], PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported
6,10,195,"CO_GT[6.5-11.9], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0], NMHC_GT[306.0-1189.0], NOx_GT[2.0-416.0], PT08_S3_NOx[1420.0-2683.0]",Not supported,"CO_GT[6.5-11.9], PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported
7,294,195,"CO_GT[3.3-11.9] --> PT08_S1_CO[1881.0-2040.0], NOx_GT[2.0-416.0]",Not supported,"CO_GT[6.5-11.9], PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported
8,0,290,PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0],Not confident,"NMHC_GT[7.0-55.0], PT08_S2_NMHC[383.0-1156.0], PT08_S4_NO2[2397.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported
9,67,290,"PT08_S4_NO2[2397.0-2775.0] --> CO_GT[0.1-3.2], C6H6_GT[25.7-63.7], NOx_GT[2.0-416.0]",Not supported,"NMHC_GT[7.0-55.0], PT08_S2_NMHC[383.0-1156.0], PT08_S4_NO2[2397.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported
10,184,290,"PT08_S4_NO2[2397.0-2775.0] --> CO_GT[0.1-3.2], PT08_S1_CO[647.0-1479.0], NOx_GT[2.0-416.0]",Not supported,"NMHC_GT[7.0-55.0], PT08_S2_NMHC[383.0-1156.0], PT08_S4_NO2[2397.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported
11,254,290,"NMHC_GT[7.0-193.0] --> PT08_S2_NMHC[383.0-1156.0], NOx_GT[2.0-416.0], PT08_S3_NOx[322.0-1065.0], PT08_S4_NO2[551.0-1285.0]",Not supported,"NMHC_GT[7.0-55.0], PT08_S2_NMHC[383.0-1156.0], PT08_S4_NO2[2397.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported
12,2,29,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"CO_GT[6.5-11.9], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
13,10,29,"CO_GT[6.5-11.9], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0], NMHC_GT[306.0-1189.0], NOx_GT[2.0-416.0], PT08_S3_NOx[1420.0-2683.0]",Not supported,"CO_GT[6.5-11.9], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
14,75,29,PT08_S4_NO2[1219.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"CO_GT[6.5-11.9], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
15,2,31,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S2_NMHC[383.0-644.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-967.0]",Not supported
16,75,31,PT08_S4_NO2[1219.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S2_NMHC[383.0-644.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-967.0]",Not supported
17,2,50,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"CO_GT[6.5-11.9], C6H6_GT[25.7-63.7], PT08_S2_NMHC[383.0-644.0], NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0]",Not supported
18,10,50,"CO_GT[6.5-11.9], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0], NMHC_GT[306.0-1189.0], NOx_GT[2.0-416.0], PT08_S3_NOx[1420.0-2683.0]",Not supported,"CO_GT[6.5-11.9], C6H6_GT[25.7-63.7], PT08_S2_NMHC[383.0-644.0], NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0]",Not supported
19,29,50,"CO_GT[6.5-11.9], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported,"CO_GT[6.5-11.9], C6H6_GT[25.7-63.7], PT08_S2_NMHC[383.0-644.0], NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0]",Not supported
20,31,50,"PT08_S2_NMHC[383.0-644.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-967.0]",Not supported,"CO_GT[6.5-11.9], C6H6_GT[25.7-63.7], PT08_S2_NMHC[383.0-644.0], NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0]",Not supported
21,59,50,"PT08_S2_NMHC[383.0-644.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported,"CO_GT[6.5-11.9], C6H6_GT[25.7-63.7], PT08_S2_NMHC[383.0-644.0], NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0]",Not supported
22,75,50,PT08_S4_NO2[1219.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"CO_GT[6.5-11.9], C6H6_GT[25.7-63.7], PT08_S2_NMHC[383.0-644.0], NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0]",Not supported
23,81,50,"PT08_S2_NMHC[383.0-1156.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported,"CO_GT[6.5-11.9], C6H6_GT[25.7-63.7], PT08_S2_NMHC[383.0-644.0], NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0]",Not supported
24,178,50,"PT08_S2_NMHC[383.0-900.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0], NOx_GT[517.0-1479.0]",Not supported,"CO_GT[6.5-11.9], C6H6_GT[25.7-63.7], PT08_S2_NMHC[383.0-644.0], NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0]",Not supported
25,182,50,"CO_GT[6.5-11.9], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0], PT08_S2_NMHC[1451.0-2214.0], PT08_S3_NOx[1420.0-2683.0]",Not supported,"CO_GT[6.5-11.9], C6H6_GT[25.7-63.7], PT08_S2_NMHC[383.0-644.0], NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0]",Not supported
26,2,59,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S2_NMHC[383.0-644.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
27,31,59,"PT08_S2_NMHC[383.0-644.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-967.0]",Not supported,"PT08_S2_NMHC[383.0-644.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
28,75,59,PT08_S4_NO2[1219.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S2_NMHC[383.0-644.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
29,81,59,"PT08_S2_NMHC[383.0-1156.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported,"PT08_S2_NMHC[383.0-644.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
30,2,70,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S2_NMHC[383.0-1156.0], NOx_GT[517.0-1479.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
31,75,70,PT08_S4_NO2[1219.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S2_NMHC[383.0-1156.0], NOx_GT[517.0-1479.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
32,81,70,"PT08_S2_NMHC[383.0-1156.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported,"PT08_S2_NMHC[383.0-1156.0], NOx_GT[517.0-1479.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
33,181,70,"PT08_S2_NMHC[383.0-1413.0], NOx_GT[517.0-1479.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0], NMHC_GT[7.0-193.0]",Not supported,"PT08_S2_NMHC[383.0-1156.0], NOx_GT[517.0-1479.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
34,2,81,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S2_NMHC[383.0-1156.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
35,75,81,PT08_S4_NO2[1219.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S2_NMHC[383.0-1156.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
36,2,228,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-967.0]",Not supported
37,75,228,PT08_S4_NO2[1219.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-967.0]",Not supported
38,2,248,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
39,75,248,PT08_S4_NO2[1219.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
40,228,248,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-967.0]",Not supported,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0]",Not supported
41,2,311,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0]",Not supported
42,75,311,PT08_S4_NO2[1219.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0]",Not supported
43,228,311,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-967.0]",Not supported,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0]",Not supported
